Name,In Charge,Industry,Type,Tech,PM,Keep Confidential,confidential title,Country,Ref or website,SA,Member,Files,Summary EN,Summary CN,"Challenges, solutions and results EN","Challenges, solutions and results CN",Kickoff Date,On 4idps Website
Deloitte SQL Stored Procedures(MTK),Amos,"Consulting, Manufacturing","Data Analysis, KRI","MSSQL, STORED PROCEDURE",Amos Chuang,Yes,https://4idps.com/wp-admin/post.php?post=2700&action=edit,Taiwan,,Amos Chuang,Amos Chuang,,"Our customer operates in the semiconductor sector.
The project entailed data processing and data visualization that allows the company to make critical audit analyses.","客戶從事半導體產業。專案涵蓋關鍵風險指標分析、Stored Procedures開發
以協助公司能夠進行關鍵審計分析。","Challenge:
Analysis of key risk indicators required for internal audit purposes
Solution:
Developed MS SQL Stores Procedures, exported the results to Tableau, and produced reports and dashboards
Result:
Passed the relevant internal audit regulations","Challenges:
企業內部稽核需要關鍵風險指標分析
Solution:
MS SQL Stores Procesures開發，並把結果出入至Tableau，產出報表、儀表板
Result:
通過內部稽核相關規定",,Yes
DEM Inc.,Corrado,Media & Entertainment,"APP, B2C, Service","Design, Digital Publishing",,No,,"China, Taiwan",,,,,Our client is a Taiwan celebrity who wrote a book which was to be published in an interactive format,客戶是一位台灣名人，希望能將新書以數位出版的方式發行。,"Challenges:
The project was a combination of design and engineering challenges
Solutions:
Our design and engineering teams worked closely together to assure a great end-result
Results:
Our client was very happy with the end result, and the book was very well received in the market.","Challenges:該項目是結合設計和工程的挑戰。
Solution 解決方便/導入過程：我們的設計和工程團隊緊密合作，以確保獲得出色的設計成果
Result:
客戶對於最終成品非常滿意，同時在市場上有很正面的迴響",,Yes
Dentsu,,,,,,,,"China, Japan, Taiwan",,,,,,,,,,
DKSH (大昌華嘉),Faust,"B2B, Logistics, Retail","APP, B2B, Service, Website","Graphql, MSSQL, NodeJS, React, ReactNative",Faust Liu,No,,"Switzerland, Taiwan",https://apps.apple.com/app/%E7%B6%AD%E4%BF%AE%E6%89%BE%E5%A4%A7%E6%98%8C/id1508101123?l=en,Faust Liu,Alan Feng,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture4%201.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture3%201.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture2%201.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture1%201.png","Our client is a large market expansion services company. In order to improve customer satisfaction and adhesion, we developed an app for their customers on which they can conduct online repairs, parts ordering and warranty inquiries. The system includes the APP used by customers and the management interface used by managers.",我們的客戶是亞洲地區的市場拓展服務業的領導者，為能提高客戶滿意度及黏著度，客戶能夠於線上進行報修、零件訂購及保固查詢的系統。該系統包含客戶使用的APP及管理人員使用的管理後台。,"Challenges:
The HOS system needs to be integrated with our client's original ticket system, which has been used for a long time, and the system architecture and API services were outdated. In order to provide customers with better services, it was necessary to integrate the existing work order system and design a system that meets modern needs.
Solution:
We identified the marketing needs, as well as the needs of the engineering unit. Through cross-departmental cooperation with the marketing team, engineering unit and IT department, a process and structure that meets the business needs was designed.
Result:
The project was executed in 3 months to the client's full satisfaction","挑戰：
HOS系統需要與客戶原有的工單系統整合，該系統已經使用了非常久的時間，且系統架構及API服務都已有相當的歷史。為了要提供客戶更好的服務，需要整合現有工單系統並設計出符合現代需求的系統，成為最大的挑戰。
解決方案：
除了解行銷的需求外同時兼顧工程單位需求，透過跨部門與行銷團隊、工程單位及IT部門的合作下，建構出符合業務需求的流程及架構。
成果：
以三個月的時間完成專案建置並驗收上線。","January 2, 2020",Yes
Dollbao,Jerry,"E-commerce, Life Sciences & Healthcare, Retail","B2C, Website, eCommerce",,,No,,Taiwan,,,,,"Our client is a leading e-commerce website which sells children's clothes and accessories throughout Asia. Our project entailed the system analysis for the new e-Commerce website, which has e-commerce and social media functionalities",Dollbao是亞洲地區相當知名販售兒童服裝和配飾的電商網站。我們需要對現有的電子商務網站進行系統分析與優化。,"Challenges:
The discount functions of the existing website were very complicated, and as a consequence it was challenging for clients to understand which discounts they would receive on their orders.
Solution: We worked with the client to make the discount system more transparent to the end-users, and designed an in-house digital currency to simplify the back-end system for various currencies
Result: the system analysis was followed by the internal development teams","挑戰：原有網站的折扣功能非常複雜，因此客戶很難一目了然訂單獲得的折扣。
Solution 解決方便/導入過程： 我們與客戶合作開發出的系統使結帳過程更加透明化，並且也設計了內部使用的數字貨幣大大簡化原先後端複雜的貨幣系統。
Results: 該系統仍持續被客戶內部開發團隊使用中。",,Yes
Embion Tech,Corrado,"Life Sciences & Healthcare, Start-ups","B2B, Website","Design, Wordpress",Corrado von Planta,No,,Switzerland,https://embiontech.com,,Steve Lu,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_5.57.45_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_5.58.16_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_5.58.33_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_5.58.57_PM.png",Our client is a Swiss high-tech start-up company in the biosciences field. They needed a high quality website to promote their products to investors and potential partners,Embion Tech是一家位在瑞士生物科技新創公司，他們需要一個建立優質的網站來向投資者和潛在合作夥伴推廣他們的產品。,"Challenges:
The challenge was mainly to find the right design language for the client. In addition, several technical schemas had to be produced.
Solutions:
Our design and engineering teams worked closely together to assure a great end-result
Results:
Our client was very happy with the end result, and the website is working well.","挑戰：除了需要為客戶定義合適的程式語言外，還必須製作數個技術方案。

Solution 解決方便/導入過程： 我們的設計和工程團隊緊密合作，以確保獲得出色的最終結果

Result 成效: 客戶對於最終的成品相當滿意。",,Yes
Evertop 億泰電纜,Jerry,"B2B, Manufacturing","Internal, Website","NodeJS, OracleDB, React, Win Server","Alan Feng, Faust Liu",No,,"Taiwan, Vietnam",,,"Weng Steven, Alan Feng",,"Our client is a leading producer of wires and cables. The project entailed the development of a product line management webapp, which has an Oracle DB backend",Evertop是在電線及電纜生產商中的領導品牌。我們需要協助開發一個具有 Oracle DB 後端的產品線管理 Web APP。,"Challenges: A dynamic project environment meant that the specs had to undergo many changes.
Solution: strong coordination with the internal project teams
Result: The project was delivered on time and to the client's full satisfaction","Challenges 挑戰/ 主要問題: 動態的開發環境意味著規範必須經歷許多變動。Solution 解決方案/ 導入過程:需要與內部專案團隊持續的協調合作
Result 成效: 專案按時交付並令客戶完全滿意",,Yes
Eye Mag,Corrado,"Fashion&Beauty, Media & Entertainment","APP, B2C","Design, Digital Publishing",,No,,Taiwan,http://www.eyemagazine.com,,,Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_6.05.18_PM.png,"Our client is a leading international design magazine. They needed a digitally published, interactive issue.",Eye Mag是一家領先的國際設計雜誌。我們需要協助發行數位出版雜誌。,"Challenges:
The client is a design magazine and as such the design must be absolutely perfect.
Solution: We built an entire design team around our digital publishing activities, which was more than able to help our client have a great design, and quick turnaround time
Result: Our client's magazine was successful in the marketplace and enjoyed excellent download rates.","Challenges 挑戰/ 主要問題: 客戶本身是設計雜誌出身，因此設計必須至臻完美。Solution 解決方案/ 導入過程: 我們投入經驗豐富的設計團隊，以提供我們的客戶獲得高品質的設計和更加快速的設計整備時間。
Result 成效: 該雜誌在市場上很成功，下載率也很高。",,Yes
Fanjoiz,Alan,"Media & Entertainment, Social Media, Sports, Start-ups","APP, Business Model Consulting, Maintenance",,Alan Feng,Yes,Sport Social Media Site,"Switzerland, United States",,,,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/IMG_5441.jpg, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/IMG_5442.jpg, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/fanjoiz1024x1024.png","We took over a sports social media project from a previous vendor. The site's goal was for people to follow sports personalities through all of their social media presences (Instagram, Facebook, etc.), and discuss with each other.",我們從以前的供應商接手了一個體育社群網站，該網站的目標是讓人們通過社交媒體如Instagram、Facebook 上面關注體育名人，並相互交流。,"Challenges:
1. When we took over the project, there was no framework used, so the code was very difficult to update.
2. Thousands of api requests per minute to fetch athletes' latest profile made the site very unstable.
Solution:
1. Refactor the code, make it easier to understand
2. Performance tuning to fine tune the request structure and they way to store / serve the datas.
Result:
The site was reorganised properly and we were able to make further development on it.","Challenges 挑戰/ 主要問題:  1、接手這個項目的時後並沒有架構，所以代碼很難更新。 2. 每分鐘數以千計的 API請求來獲取運動員的最新個人資料使的網站非常不穩定
Solution 解決方案/ 導入過程: 1. 重新架構代碼，使其更易於理解 2. 微調整結構及其存儲/服務數據的方式。 
Result 成效: 該網站經過適當的重新架構後，我們能夠對其進行進一步的開發。",,Yes
FHM Singapore,Corrado,"Fashion&Beauty, Media & Entertainment","APP, B2C",,,No,,Singapore,,,,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/image002.jpg, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/image001.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/IMG_0766.png","Our client is a leading international men's lifestyle magazine. They needed a digitally published, interactive issue, for both pad and phone size.",我們的客戶是一家領先的國際男性生活雜誌。他們需要一個數位出版的雜誌，並且適用於平板電腦和手機。,"Challenges:
1. The frequency of a monthly magazine means that designers need to produce the pages very fast.
2. The design needed to be optimised for both iPad and iPhone, which meant that 2 designs were produced of the entire magazine
Solution: We built an entire design team around our digital publishing activities, which was more than able to help our client have a great design, and quick turnaround time
Result: Our client's magazine was extremely successful in the marketplace and enjoyed very high download rates. We had to keep increasing the bandwidth on Azure, as each time a new issue was out, tens of thousands of people would be waiting online to download it.","Challenges 挑戰/ 主要問題: 1. 月刊的頻率意味著設計師需要非常快地製作頁面。 2.設計需要同時針對iPad和iPhone進行優化，因此我們製作了2個版本的設計。
Solution 解決方案/ 導入過程: 我們投入經驗豐富的設計團隊，以提供我們的客戶獲得高品質的設計和更加快速的設計整備時間。
Result 成效: 我們客戶的雜誌在市場上非常成功，下載率也非常高。我們必須持續放寬 Azure 的頻寬，因為每次發布新一期雜誌時，都會有上萬人在線等待下載",,Yes
FHM Taiwan,Corrado,"Fashion&Beauty, Media & Entertainment","APP, B2C",,,No,,Taiwan,,,,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/FHM_Homepage_1.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/FHM_book_store.jpg, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/FHM_Cover_Girl_Ad_Model_TEST_copy.jpg, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/FHM_Entertain.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/dj_dlfvbakf.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/cheryl1.jpg, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/BW12xx.jpg, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/162up-%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%A4%90%E5%BB%B32.jpg, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/%E7%94%B7%E4%BA%BA%E5%B9%ABAPPicon.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/dj_lurqoyxt.png","The men's lifestyle magazine our client represents has an esteemed global reputation. They requested a digital publication that offers an interactive experience, compatible with both tablet and mobile phone devices.",我們的客戶是一家國際性男性時尚生活雜誌，需要開發一個能夠在平板電腦和手機尺寸下互動式數位出版的電子雜誌。,"Challenges:
1. Due to the monthly nature of the magazine, designers face tight deadlines to produce the pages promptly and efficiently.
2. To ensure optimal viewing experience on both iPad and iPhone devices, the designers had to create two distinct designs of the entire magazine.
Solution: Our commitment to digital publishing led us to assemble a dedicated team of designers who possess the necessary skills to deliver excellent designs to our clients, quickly and efficiently.
Result: The magazine we created for our client achieved remarkable success in the market, with an impressive number of downloads. Due to the high demand for each new issue, we had to consistently upgrade the bandwidth on Azure to accommodate the tens of thousands of readers eagerly waiting to download it online.","Challenges 挑戰/ 主要問題: 1. 由於月刊的出版頻率，設計師需要在短時間內快速且高效地製作每一頁的內容。 2.為確保最佳的iPad和iPhone設計效果，我們創建了兩個版本的雜誌設計。
Solution 解決方案/ 導入過程: 我們團隊為了應對數位出版的需求，特別組建了一支經驗豐富的設計團隊，以確保能夠為客戶提供卓越的設計方案和快速的設計整備時間。
Result 成效: 客戶所發行的雜誌在市場上表現相當優異，且下載率一直居高不下。為了因應不斷增加的下載需求，我們持續增加 Azure 的頻寬，因為每當新一期雜誌發布時，線上就會有上萬的讀者等待下載。",,Yes
FLH 費米股份有限公司,Corrado,"Hardware, Software, Start-ups",APP,"NodeJS, ReactNative, Visual Studio Code",,Yes,https://4idps.com/wp-admin/post.php?post=2749&action=edit,Taiwan,,,,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture5%201.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture4%202.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture3%202.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture1%202.png","Our client is a leading producer of smart home devices. Examples include door locks, lights, heating/aircon, TV, etc.
Our project encompassed developing an app to control the connected devices at home. The app comes in conjunction with the client’s hardware.
We integrated the hardware protocols of the client’s devices into our app.",客戶是在台灣領先的智慧家庭品牌。智慧家庭包括結合門鎖、燈、暖氣/空調、電視等。需要協助開發一個APP來控制家中的連接設備，並且將APP與客戶端的硬體結合使用。,"Challenges:
We had to create the database structure for the client.
This required close co-operation with the client’s teams in order to assure that the database chosen is ultimately solid and scaleable.
Also, various devices require different types of control, not all can turned on and off the same way, and the information given by the client in this respect was incomplete, requiring a lot of verification and testing on our end.
Solutions:
We solved this by giving the client team a desk in our office where they can work on their development, if they require feedback from the app development team
Result:
The app was developed to client's specifications and works to the client's full satisfaction","Challenges 挑戰/ 主要問題: 我們除了為客戶創建數據庫結構外，各種設備需要不同的控制方式，開關的方式也不盡相同，而且客戶在這方面提供的信息並不完整，需要我們進行大量的驗證和測試。

Solution 解決方案/ 導入過程: 開發過程中，我們為客戶團隊提供一個辦公區域，他們不僅可以在那裡進行開發，如果他們需要，也能立即得到開發團隊的反饋。

Result 成效: APP開發成果完全符合客戶的規格。",,Yes
GeTech,Faust,"Life Sciences & Healthcare, Logistics, Manufacturing","B2B, Business Model Consulting, Service, Website","Graphql, MongoDB, NodeJS, React",Faust Liu,No,,Taiwan,https://www.getech.com.tw,Brian Yu,"Alan Feng, Frank Wang, Brian Yu",,"Our client is a Taiwan life sciences company. We were commissioned to develop an online procurement and delivery tracking system designed by our client to serve VIP customers. It is an integrated online service system that combines functions such as online shopping malls, contract product services, and instant customer service.",我們的客戶是一家台灣的生物科技公司。我們受委託開發專為服務VIP客戶所設計的線上採購及交貨追蹤系統，結合線上商城、合約品項服務以及即時客服...等功能的整合型線上服務系統。,"Challenge:
This project is a very important first step in our client's future IT development blueprint. We had to meet our client's design of customers, products, contract items... etc. in the ERP, and integrate it with various external systems as well as SalesForce. This made the project structure design rather difficult.
Solution:
We planned the functions required for future customer interfacing with our client, and decided to adopt a front-end and back-end separation architecture which can not only improve the extensibility of the system, but also meets the needs of future expansion.
Result:
The project was completed in five months, and it was successfully launched after marketing, business and customer testing.","Challenges:
本專案是GeTech未來IT發展藍圖中相當重要的第一步，除需要符合ERP中客戶、產品、合約品項...等等的設計，以便於未來與ERP、SalesForce整合，使得專案架構設計更為困難。
Solutions:
除了與客戶共同規劃未來介接所需功能之外，採取前後端分離架構除提高系統的延伸性更能符合未來擴充的需求。
Result:
以五個月時間完成專案，經行銷、業務及GeTech的客戶測試後成功上線。",,Yes
GFashion,Corrado,"Fashion&Beauty, Retail","APP, B2C, CMS, Website, eCommerce","AWS, ReactNative, Wordpress",Corrado von Planta,Yes,https://4idps.com/wp-admin/post.php?post=2755&action=edit,United States,,Corrado von Planta,Alan Feng,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture18.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture17.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture16.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture15.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture14.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture13.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture12.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture11.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture1%203.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture2%202.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture3%203.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture4%203.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture5%202.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture6%201.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture7.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Picture8.png","Our client is a diversified, US-based entrepreneurial group. The project entailed developing a fashion e-commerce website and integrated app for a new high-end fashion line",該名客戶是位在美國的新創公司，需要我們協助開發電商網站及APP。,"Challenges:
1. We had 2 months to develop the entire site and the app. This means that several engineers had to work on various parts of the code simultaneously, thus risking over-writing each other's work.
2. The design had to be changed as the material wasn't ready at the start of the project.
Solution: Project management was the most critical issue in this project, and tasks were assigned to the engineers with rigorous start and end / committ times, to avoid mistakes
Result: The project was delivered on time and to the client's full satisfaction","Challenges 挑戰/ 主要問題: 
1) 我們有 2 個月的時間來開發網站和APP，在開發過程中我們持續確保，在多個工程師同時處理各個部分的Coding時，不會覆蓋掉彼此的工作。2)由於專案開始之初，詳細內容並不是很完善，因此在設計上也面臨多次變動。

Solution 解決方案/ 導入過程:  專案管理是這個專案中最關鍵的一環，將任務分配給工程師後，需要嚴謹的規範各環節的提交時程，確保能在時程內如期上線。

Result 成效: 專案按時交付外並且成果高度符合客戶期望。",,Yes
GNews,Corrado,Media & Entertainment,"APP, B2C, CMS, Website","AWS, ReactNative, Wordpress",Alan Feng,Yes,https://4idps.com/wp-admin/post.php?post=2765&action=edit,"China, United States",https://gnews.org,Alan Feng,Alan Feng,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screenshot_2022-12-13_at_4.14.53_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screenshot_2022-12-13_at_4.15.19_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screenshot_2022-12-13_at_4.15.57_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screenshot_2022-12-13_at_4.16.12_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screenshot_2022-12-13_at_4.16.20_PM.png","Our client is a US-based news conglomerate. The project entailed updating the news portal, speed optimisation due to extremely high peak traffic, and development of an app",客戶是一家總部位於美國的新聞集團。此專案目標為更新新聞入口網站、開發APP，以及針對網站極高的網站訪問流量進行速度的優化。,"Challenges:
1. Since our client's readers are worldwide, the setup was highly complex, in order to assure that the news are served immediately independently of the location.
2. Since our client's editors are also worldwide, they needed a platform that is easy to use from a mobile phone as well as PC interface and can accommodate the immediate upload of high quantities of text and media.
Solution: We re-size all of the media of the site in the backend in order to optimise the bandwidth requirements. In addition, we tweaked the server setup in order to optimise the speed
Result: The project was delivered on time and to the client's full satisfaction, and held up without fail even in the face of hacker attacks and extremely high traffic","Challenges 挑戰/ 主要問題: 1)客戶的讀者遍及全球，因此設置非常複雜，要確保新聞不受地理位置影響能立即送達。 2) 由於客戶的編輯群也是分布於全球，他們需要一個既能在手機上也能在PC 介面上使用的平台，並且系統要可以容納大量文檔和媒體檔案的即時上傳。

Solution 解決方案/ 導入過程: 我們重新調整所有網站檔案的大小，也調整了伺服器的設置以優化速度。

Result 成效: 專案按時交付並令客戶相當地滿意，即使面臨駭客攻擊和極高的造訪流量下仍順利運行。",,Yes
Golden Sunda,Faust,Life Sciences & Healthcare,"B2B, B2C, Internal, Website",ASP.Net,,No,,Taiwan,,,,,"Our client is a medical devices manufacturing company. We were called on to take over a project from a previous supplier that was no longer serviceable by the company, document the code, and do further development",Golden Sunda是一家醫療器械製造公司。我們被要求從以前的供應商那裡接手一個專案，該專案已經不再由原先的供應商提供服務、記錄代碼，以及做進一步的開發。,"Challenges:
Develop the WinForm system, serially connect hardware devices and analyze signals
Solution:
We cooperated closely with the hardware manufacturers to confirm the definitions, and designed a flexible structure for customers to adjust the parameter calculation method by themselves.
Result:
Delivered on time and appreciated by customers.","Challenges:
WinForm系統，串接硬體設備並解析訊號
Solution:
與硬體廠商合作並溝通協調確認定義外，並設計彈性架構供客戶自行調整參數計算方式。
Result:
準時交付並得到客戶讚賞。",,Yes
H2U,Amos,Life Sciences & Healthcare,"Salesforce, eCommerce","Apex, Salesforce",Amos Chuang,Yes,Biotech and Health Food Company,Taiwan,,Amos Chuang,,,"Our client is a Taiwan Biotech and Health Food Company. The goal of this project was to implement Service Cloud to help manage customers across multiple channels, and improve customer service agent productivity.","客戶是台灣生技及健康食品公司。專要需要將Salesforce與電子商務整合，並分析客戶的消費模式，以提高客戶服務代理的工作效率。

","Challenge:
Our client wanted to analyze customer consumption patterns in order to increase revenues
Solution:
Import Service Cloud and integrate with online shopping malls, import customers, shopping carts, products, orders, and payment information into Salesforce on a regular basis, and develop a complete set of automated processes to analyze customer consumption patterns and provide the results to business departments and marketing
Result:
After the business department gets the data, it can sell more accurately, and the marketing department can push advertisements according to the customer’s habits, increasing revenue by 16% within one year","Challenges:
企業想要分析客戶的消費模式，以此提升營收
Solution:
導入Service Cloud，並與線上商城整合，把客戶、購物車、產品、訂單、付款資料定期匯入Salesforce，並制定一整套的自動化流程，分析客戶的消費模式、並把結果提供給業務部門、行銷部門
Result:
業務部門拿到數據後，可以更準確的銷售，行銷部門則可以根據客戶的習性推播廣告，一年內提升營收16%",,Yes
Hearst,Corrado,Media & Entertainment,"APP, Business Model Consulting, eCommerce",,,No,,Taiwan,https://www.elle.com/tw/,,,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/IMG_1129.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/image.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Elle_Homepage.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/ELLE_APP_ICON_512x512.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/2_1.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/047-500x668.png","Our client is a prime leading worldwide publishing brand. The project entailed publishing an interactive issue, for both pad and phone size, of their worldwide leading women's magazine",客戶是全球領先的出版集團。該專案需要將他們領先全球的女性雜誌的提供數位出版，包括平板電腦和手機尺寸。,"Challenges:
1. The frequency of a monthly magazine means that designers need to produce the pages very fast.
2. The design needed to be optimised for both iPad and iPhone, which meant that 2 designs were produced of the entire magazine
Solution: We built an entire design team around our digital publishing activities, which was more than able to help our client have a great design, and quick turnaround time
Result: Our client's magazine was extremely successful in the marketplace and enjoyed very high download rates. We had to keep increasing the bandwidth on Azure, as each time a new issue was out, tens of thousands of people would be waiting online to download it","Challenges 挑戰/ 主要問題: 1. 每月出刊的頻率意味著設計師需要非常快地製作頁面。 2.設計需要同時針對iPad和iPhone進行優化，因此我們製作了2個設計

Solution 解決方案/ 導入過程: 我們投入經驗豐富的設計團隊，以提供我們的客戶獲得高品質的設計和更加快速的設計整備時間。

Result 成效: 我們客戶的雜誌在市場上非常成功，下載率也非常高。我們必須持續放寬 Azure 的頻寬，因為每次發布新一期雜誌時，都會有上萬人在線等待下載",,Yes
Brava,Corrado,Media & Entertainment,"APP, Business Model Consulting, eCommerce","Design, Digital Publishing",,No,,Taiwan,,,,Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/brava_issue_2.pdf,"Our client is a prime leading worldwide publishing brand. The project entailed publishing an interactive issue, for both pad and phone size, of their women's magazine",客戶是全球領先的出版集團。該專案需要將他們領先全球的女性雜誌的提供數位出版，包括平板電腦和手機尺寸。,"Challenges:
1. The frequency of a monthly magazine means that designers need to produce the pages very fast.
2. The design needed to be optimised for both iPad and iPhone, which meant that 2 designs were produced of the entire magazine
Solution: We built an entire design team around our digital publishing activities, which was more than able to help our client have a great design, and quick turnaround time
Result: Our client's magazine was extremely successful in the marketplace and enjoyed very high download rates. We had to keep increasing the bandwidth on Azure, as each time a new issue was out, tens of thousands of people would be waiting online to download it","Challenges 挑戰/ 主要問題: 1. 每月出刊的頻率意味著設計師需要非常快地製作頁面。 2.設計需要同時針對iPad和iPhone進行優化，因此我們製作了2個設計

Solution 解決方案/ 導入過程: 我們投入經驗豐富的設計團隊，以提供我們的客戶獲得高品質的設計和更加快速的設計整備時間。

Result 成效: 我們客戶的雜誌在市場上非常成功，下載率也非常高。我們必須持續放寬 Azure 的頻寬，因為每次發布新一期雜誌時，都會有上萬人在線等待下載",,Yes
Hi-Yes,Amos,Real Estate,"APP, B2C, Salesforce, Website","Apex, React, ReactNative, Salesforce, Visualforce",Amos Chuang,Yes,https://4idps.com/wp-admin/post.php?post=2787&action=edit,Taiwan,,Amos Chuang,,,"Our client is a leading real estate agent in Taiwan. The goal of this project was to implement Service Cloud to help manage customers across multiple channels, and improve customer service agent productivity.",客戶是台灣知名的房地產代銷公司。專案目標是Salesforce開發內部管理系統，包含預約模組、派工管理模組、客戶管理模組、業務管理模組。,"Challenge:
Real Estate Agency Sales is a business which requires a lot of personal client interaction ""in the field"". Making appointments became too management-intensive for our client.
Solution:
We set up Service Cloud for our client, and developed customer management, business management, appointment management, and dispatch management modules for them. The headquarters can now manage the entire business on a unified platform, and easily dispatch its employees to meet the clients on the construction project. The business can be logged into the system to make sure that the customer information is up to date, and in-house and customer activities can now easily be assessed.
Result:
Improved management efficiency, reduced labor costs, and drastically less customer complaints","Challenges:
在房地產代銷的業態下，業務分散各地、且時常流動，再加上客戶預約看房的管道眾多，以上幾點都造成管理上的負擔
Solution:
導入Service Cloud，並開發客戶管理、業務管理、預約管理、派工管理模組，總部可以在統一平台上管理全台的業務，並根據客戶預約派工給業務代看建案，一方面業務可以登入系統建立客戶資料、管理自己與客戶的活動
Result:
提升管理效率、減少人力成本，且客戶抱怨率也大幅下降",,Yes
Huangpu Asset Management,Corrado,"Financial Services, Real Estate",,,,No,,China,,,,Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Innerpage_Huangpu.jpg,Our client is an international asset management firm. The project entailed developing a backend system for their sales related activities,客戶是一家國際資產管理公司。該專案需要幫助銷售部門開發後端系統,"Challenges:
The client didn't have a strong technical expertise, therefore all technical decisions had to be by us, and properly explained to the client
Solution: Project management was esential to assure that the client knows what we are doing and agrees with it
Result: The project was delivered on time and to the client's full satisfaction","Challenges 挑戰/ 主要問題: 客戶本身並沒有技術背景，因此大部分的技術決策必須仰賴我們的知識及經驗。
Solution 解決方案/ 導入過程: 專案管理在開發過程中非常關鍵，持續讓客戶參與專案的每個階段，共同決策。

Result 成效: 後端系統按時交付，並且成果令客戶相當滿意",,Yes
